Target_Y | Src_Y_Float | Pre_Idx | Pre_Weight | Post_Idx | Post_Weight
     242 |    543.8750 |     543 |         32 |      544 |         224
     243 |    546.1250 |     546 |        224 |      547 |          32
     244 |    548.3750 |     548 |        160 |      549 |          96
     245 |    550.6250 |     550 |         96 |      551 |         160
     246 |    552.8750 |     552 |         32 |      553 |         224
     247 |    555.1250 |     555 |        224 |      556 |          32
     248 |    557.3750 |     557 |        160 |      558 |          96
     249 |    559.6250 |     559 |         96 |      560 |         160
     250 |    561.8750 |     561 |         32 |      562 |         224
     251 |    564.1250 |     564 |        224 |      565 |          32
     252 |    566.3750 |     566 |        160 |      567 |          96
